fecha_inicio,fecha_culminacion,periodo
1479,1480,Renacimiento
1472,1475,Renacimiento
1472,1475,Renacimiento
1300,1305,G贸tico
1602,1604,Barroco
1504,1506,Renacimiento
1600,1601,Barroco
1607,1608,Barroco
1596,1597,Barroco
1453,1455,Renacimiento
1829,1830,Romanticismo
1541,1563,Renacimiento
2018,2019,Neoclasicismo Romano de mediados del siglo XVII 1/2
2019,2020,Neoclasicismo Romano de mediados del siglo XVII 1/2
1573,1574,Renacimiento
1648,1651,Barroco
1618,1619,Barroco
1645,1652,Barroco
1666,1667,Barroco
1656,1667,Barroco
1622,1625,Barroco
1309,1310,G贸tico
1300,1304,G贸tico
1299,1300,G贸tico
1805,1807,Neoclasicismo
1618,1619,Barroco
1495,1498,Renacimiento
1503,1519,Renacimiento
1498,1499,Renacimiento
1501,1504,Renacimiento
1513,1515,Renacimiento
1500,1511,Renacimiento
1537,1541,Renacimiento
1508,1524,Renacimiento
1517,1520,Renacimiento
1513,1514,Renacimiento
1504,1505,Renacimiento
1477,1478,Renacimiento
1482,1485,Renacimiento
